time,open,high,low,close,tick_volume,spread,real_volume,BASE_SMA,up_down,pivot
2025-02-17 21:17:00,151.377,151.388,151.377,151.386,11,0,0,151.38125,True,
2025-02-17 21:18:00,151.386,151.398,151.385,151.396,12,0,0,151.38209999999998,True,
2025-02-17 21:19:00,151.396,151.396,151.378,151.378,11,0,0,151.38215,True,
2025-02-17 21:20:00,151.378,151.382,151.378,151.379,29,1,0,151.38264999999998,True,
2025-02-17 21:21:00,151.379,151.384,151.379,151.383,16,0,0,151.38344999999998,True,
2025-02-17 21:22:00,151.383,151.383,151.379,151.38,12,1,0,151.384,True,
2025-02-17 21:23:00,151.38,151.383,151.38,151.383,14,2,0,151.38405,True,
2025-02-17 21:24:00,151.383,151.388,151.382,151.385,7,0,0,151.3842,True,
2025-02-17 21:25:00,151.385,151.389,151.385,151.389,9,1,0,151.3847,True,
2025-02-17 21:26:00,151.389,151.396,151.387,151.391,19,1,0,151.3852,True,
2025-02-17 21:27:00,151.391,151.393,151.39,151.391,22,0,0,151.38569999999999,True,
2025-02-17 21:28:00,151.391,151.399,151.39,151.398,11,2,0,151.38655,True,
2025-02-17 21:29:00,151.398,151.398,151.388,151.395,29,0,0,151.38719999999998,True,
2025-02-17 21:30:00,151.395,151.395,151.39,151.39,18,0,0,151.387,False,
2025-02-17 21:31:00,151.39,151.392,151.39,151.39,11,1,0,151.38705,True,
2025-02-17 21:32:00,151.39,151.393,151.389,151.391,56,3,0,151.38705,False,
2025-02-17 21:33:00,151.391,151.396,151.39,151.396,38,0,0,151.38735,True,
2025-02-17 21:34:00,151.396,151.397,151.392,151.394,11,0,0,151.3876,True,
2025-02-17 21:35:00,151.394,151.395,151.392,151.394,32,0,0,151.38830000000002,True,
2025-02-17 21:36:00,151.394,151.396,151.392,151.393,30,0,0,151.3891,True,
2025-02-17 21:37:00,151.393,151.394,151.391,151.391,45,1,0,151.38934999999998,True,
2025-02-17 21:38:00,151.391,151.395,151.391,151.392,76,0,0,151.38915,False,
2025-02-17 21:39:00,151.392,151.398,151.391,151.396,80,0,0,151.39005,True,
2025-02-17 21:40:00,151.395,151.397,151.393,151.393,26,0,0,151.39075,True,
2025-02-17 21:41:00,151.393,151.394,151.392,151.393,99,2,0,151.39125,True,
2025-02-17 21:42:00,151.394,151.399,151.392,151.393,86,0,0,151.39190000000002,True,
2025-02-17 21:43:00,151.393,151.397,151.391,151.397,25,0,0,151.3926,True,
2025-02-17 21:44:00,151.397,151.397,151.39,151.391,20,0,0,151.3929,True,
2025-02-17 21:45:00,151.391,151.4,151.391,151.398,14,0,0,151.39335,True,
2025-02-17 21:46:00,151.398,151.402,151.398,151.402,22,0,0,151.39389999999997,True,
2025-02-17 21:47:00,151.402,151.402,151.388,151.392,21,2,0,151.39395,True,
2025-02-17 21:48:00,151.392,151.397,151.39,151.391,47,2,0,151.3936,False,
2025-02-17 21:49:00,151.391,151.402,151.391,151.401,17,0,0,151.3939,True,
2025-02-17 21:50:00,151.401,151.401,151.392,151.396,55,0,0,151.3942,True,
2025-02-17 21:51:00,151.396,151.4,151.396,151.398,13,0,0,151.3946,True,
2025-02-17 21:52:00,151.398,151.4,151.388,151.389,28,2,0,151.39450000000002,False,
2025-02-17 21:53:00,151.389,151.392,151.389,151.391,16,0,0,151.39425,False,
2025-02-17 21:54:00,151.391,151.392,151.388,151.392,41,0,0,151.39415,False,
2025-02-17 21:55:00,151.392,151.399,151.387,151.397,38,1,0,151.3943,True,
2025-02-17 21:56:00,151.397,151.4,151.397,151.398,18,1,0,151.39455,True,
2025-02-17 21:57:00,151.398,151.398,151.393,151.397,46,0,0,151.39485,True,
2025-02-17 21:58:00,151.397,151.402,151.396,151.399,38,0,0,151.3952,True,
2025-02-17 21:59:00,151.399,151.402,151.398,151.398,22,0,0,151.3953,True,
2025-02-17 22:00:00,151.398,151.402,151.398,151.401,10,0,0,151.39569999999998,True,
2025-02-17 22:01:00,151.401,151.402,151.397,151.399,15,2,0,151.396,True,
2025-02-17 22:02:00,151.399,151.401,151.398,151.4,14,0,0,151.39634999999998,True,
2025-02-17 22:03:00,151.4,151.403,151.4,151.403,4,1,0,151.39665,True,
2025-02-17 22:04:00,151.401,151.402,151.4,151.401,7,2,0,151.39715,True,
2025-02-17 22:05:00,151.401,151.402,151.397,151.4,14,0,0,151.39725,True,
2025-02-17 22:06:00,151.399,151.401,151.399,151.4,6,1,0,151.39715,False,
2025-02-17 22:07:00,151.4,151.402,151.4,151.402,7,2,0,151.39765,True,
2025-02-17 22:08:00,151.402,151.403,151.401,151.401,8,0,0,151.39815000000002,True,
2025-02-17 22:09:00,151.401,151.404,151.401,151.403,8,0,0,151.39825,True,
2025-02-17 22:10:00,151.404,151.404,151.4,151.402,5,0,0,151.39855,True,
2025-02-17 22:11:00,151.402,151.402,151.401,151.401,2,0,0,151.39870000000002,True,
2025-02-17 22:12:00,151.401,151.401,151.399,151.4,6,2,0,151.39925,True,
2025-02-17 22:13:00,151.4,151.401,151.396,151.401,17,2,0,151.39975,True,
2025-02-17 22:14:00,151.401,151.402,151.398,151.4,15,0,0,151.40015,True,
2025-02-17 22:15:00,151.4,151.403,151.4,151.402,5,0,0,151.4004,True,
2025-02-17 22:16:00,151.402,151.402,151.399,151.399,12,2,0,151.40045,True,
2025-02-17 22:17:00,151.399,151.403,151.399,151.4,18,0,0,151.4006,True,
2025-02-17 22:18:00,151.4,151.402,151.399,151.4,16,1,0,151.40064999999998,True,
2025-02-17 22:19:00,151.4,151.403,151.4,151.403,8,0,0,151.4009,True,
2025-02-17 22:20:00,151.403,151.412,151.402,151.41,15,0,0,151.40135,True,
2025-02-17 22:21:00,151.41,151.411,151.392,151.394,8,1,0,151.40109999999999,False,
2025-02-17 22:22:00,151.393,151.395,151.391,151.394,63,2,0,151.4008,False,
2025-02-17 22:23:00,151.393,151.399,151.392,151.399,65,2,0,151.4006,False,
2025-02-17 22:24:00,151.399,151.402,151.399,151.399,20,2,0,151.40050000000002,False,
2025-02-17 22:25:00,151.399,151.402,151.399,151.402,6,1,0,151.4006,True,
2025-02-17 22:26:00,151.402,151.403,151.399,151.4,8,2,0,151.4006,False,
2025-02-17 22:27:00,151.4,151.4,151.398,151.4,5,0,0,151.40050000000002,False,
